Num,Title,Comment,Recommend,Link
206,浪潮,8.7,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
207,战争之王,8.6,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
208,初恋这件小事,8.3,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
209,地球上的星星,8.9,天使保护事件始末。,https://movie.douban.com/subject/2363506/
210,奇迹男孩,8.6,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
211,青蛇,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
212,终结者2：审判日,8.7,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
213,爱在午夜降临前,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
214,新龙门客栈,8.6,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
215,源代码,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
216,釜山行,8.4,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
217,步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
218,无耻混蛋,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
219,小萝莉的猴神大叔,8.5,宝莱坞的萝莉与大叔。,https://movie.douban.com/subject/26393561/
220,再次出发之纽约遇见你,8.5,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
221,一次别离,8.7,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
222,追随,8.9,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
223,新世界,8.7,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
224,绿里奇迹,8.7,天使暂时离开。,https://movie.douban.com/subject/1300374/
225,血钻,8.6,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
226,2001太空漫游,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
227,彗星来的那一夜,8.5,小成本大魅力。,https://movie.douban.com/subject/25807345/
